Address,City,State,Zip Code,Latitude,Longitude
14555 Valley Center Drive,Victorville,California,92392-4216,34.5155574,-117.3196428
2030 North Imperial Avenue,El Centro,California,92243-1323,32.8152064,-115.5700028
72-800 Dinah Shore Drive,Palm Desert,California,92211-0817,33.7996392,-116.3819564
12350 Carmel Mountain Road,San Diego,California,92128-4697,32.987241,-117.077675
650 Gateway Center Drive,San Diego,California,92102-4594,32.712739,-117.11613
1755 Hacienda Drive,Vista,California,92081-4546,33.1879309,-117.2767568
101 Town Center Parkway,Santee,California,92071-5899,32.840642,-116.987356
12155 Tech Center Drive,Poway,California,92064-7156,32.93649,-117.033125
951 Palomar Airport Road,Carlsbad,California,92011-1110,33.1201381,-117.3165503
8125 Fletcher Parkway,La Mesa,California,91942-2934,32.773971,-117.024305
1130 Broadway,Chula Vista,California,91911-2707,32.6089545,-117.0809526
895 East H Street,Chula Vista,California,91910-7807,32.637276,-117.022199
2207 West Commonwealth Avenue,Alhambra,California,91803-1302,34.089515,-118.148531
520 N Lone Hill Ave,San Dimas,California,91773-1725,34.112139,-117.82633
9404 Central Avenue,Montclair,California,91763-2421,34.083039,-117.690661
17550 Castleton St.,City of Industry,California,91748-1701,33.994075,-117.922
11800 4th Street,Rancho Cucamonga,California,91739-9318,34.078576,-117.5482714
13111 Peyton Drive,Chino Hills,California,91709-6002,34.014463,-117.741815
1220 West Foothill Boulevard,Azusa,California,91702-2819,34.131982,-117.925681
1051 Burbank Blvd.,Burbank,California,91506-1421,34.185739,-118.324045
6100 Sepulveda Boulevard,Van Nuys,California,91411-2503,34.181613,-118.46401
18649 Via Princessa,Santa Clarita,California,91387-4935,34.4027129,-118.4550432
5700 Lindero Canyon Road,Westlake Village,California,91362-4063,34.152307,-118.797131
8810 Tampa Avenue,Northridge,California,91324-3519,34.230765,-118.551069
21300 Roscoe Boulevard,Canoga Park,California,91304-4200,34.218644,-118.596119
2200 East Willow Street,Signal Hill,California,90806-2132,33.8043173,-118.166725
340 Lakewood Center Mall,Lakewood,California,90712-2409,33.850463,-118.136453
12324 Hoxie Avenue,Norwalk,California,90650-2266,33.919958,-118.102519
1345 North Montebello Boulevard,Montebello,California,90640-2585,34.032917,-118.097463
101 N Beach Blvd,La Habra,California,90631-4468,33.932029,-117.969786
2751 Sky Park Drive,Torrance,California,90505-5351,33.800813,-118.34993
3560 West Century Blvd,Inglewood,California,90303-1201,33.943257,-118.333856
13463 Washington Boulevard,Marina del Rey,California,90292-5658,33.992576,-118.446821
14501 Hindry Avenue,Hawthorne,California,90250-6748,33.898805,-118.372745
2901 Los Feliz Boulevard,Los Angeles,California,90039-1502,34.1285583,-118.2636796
1051 Hume Way,Vacaville,California,95687,38.3506756,-121.9817708
2955 North Tegner Road,Turlock,California,95380,37.519131,-120.888552
3250 W. Grant Line Road,Tracy,California,95377,37.7510679,-121.475091
7251 Camino Arroyo,Gilroy,California,95020,37.008207,-121.556447
5901 Redwood Drive,Rohnert Park,California,94928,38.3527259,-122.717092
28505 Hesperian Blvd,Hayward,California,94545,37.6163221,-122.0889509
2300 Middlefield Rd,Redwood City,California,94063,37.478656,-122.216527
7100 N. Abby Street,Fresno,California,93720,36.839426,-119.78774
4900 Panama Lane,Bakersfield,California,93308,35.297271,-119.058275
3800 Rosedale Highway,Bakersfield,California,93308,35.384837,-119.048452
27220 Heather Ridge Road,Laguna Niguel,California,92677,33.567618,-117.711571
26610 Ynez Road,Temecula,California,92591,33.521227,-117.154362
16505 Sierra Lakes Parkway,Fontana,California,92336,34.137557,-117.442672
79795 Hwy 111,La Quinta,California,92253,33.704896,-116.272801
4605 Morena Boulevard,San Diego,California,92117,32.8234958,-117.2282851
7803 Othello Ave,San Diego,California,92111,32.816251,-117.153631
13550 W Paxton St,Pacoima,California,91331,34.2725894,-118.4276271
5401 Katella Ave,Cypress,California,90720,33.8031834,-118.038976
12530 Prairie Ave,Hawthorne,California,90250,33.918618,-118.342576
6333 Telegraph Rd,Commerce,California,90040,33.9947586,-118.1430614
170 Cooley Mesa Rd,Gypsum,Colorado,81637-9707,39.6433872,-106.8885487
5885 Barnes Road,Colorado Springs,Colorado,80922-3512,38.892736,-104.71771
18414 Cottonwood Dr,Parker,Colorado,80138-8876,39.5580896,-104.7758852
8686 Park Meadows Center Drive,Littleton,Colorado,80124-5129,39.561203,-104.874753
7900 West Quincy Avenue,Littleton,Colorado,80123-2472,39.638285,-105.082856
4000 River Point Parkway,Sheridan,Colorado,80110-3316,39.644445,-105.006451
6400 West 92nd Avenue,Westminster,Colorado,80031-2952,39.862237,-105.0661949
600 Marshall Road,Superior,Colorado,80027-9730,39.9576167,-105.1699298
16375 N Washington St,Thornton,Colorado,80023-8907,39.991358,-104.983163
1471 South Havana,Aurora,Colorado,80012-4013,39.690471,-104.86808
5195 Wadsworth Blvd.,Arvada,Colorado,80002-4617,39.790074,-105.082637
5050 N Nevada Ave,Colorado Springs,Colorado,80918,38.9037505,-104.8172136
779 Connecticut Ave,Norwalk,Connecticut,06854-1615,41.0919457,-73.4515808
200 Federal Road,Brookfield,Connecticut,06804-2527,41.4422731,-73.4051279
3600 East Main Street,Waterbury,Connecticut,06705-3851,41.542672,-72.9686675
1718 Boston Post Road,Milford,Connecticut,06460-2718,41.249661,-73.023977
75 Freshwater Blvd,Enfield,Connecticut,06082-3854,41.9936047,-72.5754399
900 Center Boulevard,Newark,Delaware,19702-3221,39.677736,-75.64737
17800 Congress Avenue,Boca Raton,Florida,33487,26.411955,-80.1008839
6275 Naples Boulevard,Naples,Florida,34109-2030,26.22026,-81.77492
10088 Gulf Center Drive,Fort Myers,Florida,33913-8961,26.489631,-81.785933
7171 Cypress Lake Drive,Fort Myers,Florida,33907-6521,26.544447,-81.8742089
10921 Causeway Blvd.,Brandon,Florida,33511-2903,27.921491,-82.330936
1873 West Lantana Road,Lantana,Florida,33462-2698,26.5872905,-80.0726927
11001 Southern Blvd - Ste 160,Royal Palm Beach,Florida,33411-4240,26.6810314,-80.2195563
3250 Northlake Boulevard,Lake Park,Florida,33403-1702,26.8083519,-80.0879667
1890 South University Drive,Davie,Florida,33324-5847,26.0969039,-80.2509582
13450 SW 120th St,Kendall,Florida,33186-7393,25.655668,-80.412069
14585 Biscayne Boulevard,North Miami Beach,Florida,33181-1209,25.909564,-80.156203
8300 Park Boulevard,Miami,Florida,33126-3832,25.774109,-80.330536
1800 West Sample Road,Pompano Beach,Florida,33064-1324,26.273566,-80.148255
15915 Pines Blvd,Pembroke Pines,Florida,33027-1201,26.009617,-80.360331
16580 NW 59th Avenue,Miami,Florida,33014-5611,25.923451,-80.298706
2101 Water Bridge Blvd,Orlando,Florida,32837-9283,28.404252,-81.40671
3333 University Boulevard,Winter Park,Florida,32792-7428,28.59907,-81.30024
741 Orange Avenue,Altamonte Springs,Florida,32714-3031,28.6618672,-81.4176945
4067 Lagniappe Way,Tallahassee,Florida,32317-1201,30.4606461,-84.2124709
4901 Gate Parkway,Jacksonville,Florida,32246-4405,30.252071,-81.533776
2655 Gulf to Bay Blvd.,Clearwater,Florida,33759,27.9604528,-82.7275752
100 Cobb Parkway,Ringgold,Georgia,30742,34.9326477,-85.2547988
1550 Mall of Georgia Blvd,Buford,Georgia,30519-6551,34.0620378,-83.9943156
2900 Cumberland Mall,Atlanta,Georgia,30339-8107,33.8816153,-84.4694359
6350 Peachtree Dunwoody Rd N.E.,Atlanta,Georgia,30328-4527,33.927816,-84.352462
1700 Mount Zion Road,Morrow,Georgia,30260-3014,33.572052,-84.333989
645 Barrett Parkway,Kennesaw,Georgia,30144-4922,34.0092178,-84.5686483
3980 Venture Drive,Duluth,Georgia,30096-5077,33.947764,-84.143039
2855 Jordan Ct,Alpharetta,Georgia,30004-3869,34.090513,-84.277902
500 Brookhaven Ave,Atlanta,Georgia,30319,33.8709805,-84.3350283
73-5600 Maiau Street,Kailua-Kona (Hawaii),Hawaii,96740-2630,19.687344,-156.017457
333A Keahole Street,Honolulu (Oahu),Hawaii,96825-3428,21.282117,-157.7119219
94-1231 Ka Uka Blvd,Waipahu (Oahu),Hawaii,96797-4495,21.4188931,-158.0063848
4300 Nuhou St,Lihue,Hawaii,96766-8002,21.9665355,-159.3799149
540 Haleakala Highway,Kahului (Maui),Hawaii,96732-2302,20.887082,-156.451364
4589 Kapolei Parkway,Kapolei (Oahu),Hawaii,96707-1879,21.3272958,-158.0881083
525 Alakawa Street,Iwilei (Oahu),Hawaii,96817,21.3184739,-157.870711
355 East Neider Avenue,Coeur D\'Alene,Idaho,83815-3723,47.7080223,-116.7819023
2051 S. Cole Road,Boise,Idaho,83709-2815,43.585487,-116.276686
16700 N Marketplace Blvd,Nampa,Idaho,83687-7909,43.615175,-116.592784
731 Pole Line Road,Twin Falls,Idaho,83301-3036,42.591998,-114.4656395
305 West Quinn Rd,Pocatello,Idaho,83201-4988,42.905739,-112.468931
7311 North Melvina Ave,Niles,Illinois,60714-3905,42.014665,-87.7815541
7300 S. Cicero Ave,Bedford Park,Illinois,60629-5817,41.7600708,-87.7418497
2746 N. Clybourn Avenue,Chicago,Illinois,60614-1006,41.9297729,-87.6770447
1901 West 22nd Street,Oak Brook,Illinois,60523-1785,41.845569,-87.964888
9915 W 159th St,Orland Park,Illinois,60467-4572,41.6011911,-87.8618256
1375 North Meacham Rd,Schaumburg,Illinois,60173-4805,42.0565401,-88.0449252
250 N. Randall Rd.,Lake in the Hills,Illinois,60156-5943,42.1788808,-88.3387302
505 W. Army Trail Road,Bloomingdale,Illinois,60108-1391,41.9396832,-88.1323182
680 S. Rand Road,Lake Zurich,Illinois,60047-3409,42.187135,-88.093412
1320 S. Route 59,Naperville,Illinois,60564,41.7443388,-88.2058422
830 E Boughton Rd,Bolingbrook,Illinois,60440,41.7265993,-88.0325566
221 S. Randall Rd,St. Charles,Illinois,60174,41.9073026,-88.3400191
8400 W North Ave,Melrose Park,Illinois,60160,41.9091302,-87.8367543
999 N. Elmhurst Road,Mount Prospect,Illinois,60056,42.0831646,-87.9332458
25901 Riverwoods Rd,Mettawa,Illinois,60045,42.240048,-87.9057161
2900 Patriot Blvd,Glenview,Illinois,60026,42.1090138,-87.8214507
1310 E. 79th Ave,Merrillville,Indiana,46410-5768,41.4738435,-87.3218679
9010 Michigan Road,Indianapolis,Indiana,46268,39.916735,-86.226227
6110 East 86th Street,Castleton,Indiana,46250,39.913779,-86.061793
7205 Mills Civic Parkway,West Des Moines,Iowa,50266-8140,41.562811,-93.804976
9350 Marshall Drive,Lenexa,Kansas,66215-3845,38.95885,-94.733002
12221 Blue Valley Parkway,Overland Park,Kansas,66213,38.906906,-94.670999
5020 Norton Healthcare Blvd,Louisville,Kentucky,40241-2835,38.3163673,-85.5728641
2400 Five Lees Lane,Lanham,Maryland,20706,38.9731445,-76.8160858
10 Monocacy Blvd.,Frederick,Maryland,21701-6554,39.4018344,-77.4075364
9919 Pulaski Highway,Baltimore,Maryland,21220-1423,39.358195,-76.444565
7077 Arundel Mills Circle,Hanover,Maryland,21076-1387,39.15582,-76.730744
6675 Marie Curie Drive,Elkridge,Maryland,21075-6457,39.186369,-76.793645
575 East Ordnance Road,Glen Burnie,Maryland,21060-6575,39.2035401,-76.5939428
880 Russell Avenue,Gaithersburg,Maryland,20879-3506,39.155646,-77.214124
10925 Baltimore Avenue (Route 1),Beltsville,Maryland,20705-2117,37.228312,-77.3903001
16006 Crain Highway SE,Brandywine,Maryland,20613-8081,38.6645584,-76.8747015
71 Second Avenue,Waltham,Massachusetts,02451-1107,42.395066,-71.265264
120 Stockwell Drive,Avon,Massachusetts,02322-1149,42.136598,-71.066458
400 Commercial Circle,Dedham,Massachusetts,02026-2635,42.230996,-71.17497
11 Newbury Street (Route 1),Danvers,Massachusetts,01923-1014,37.226693,-77.401371
119 Daggett Drive,West Springfield,Massachusetts,01089-4672,42.13216,-72.620485
2 Mystic View Road,Everett,Massachusetts,2149,42.4017251,-71.0695264
5100 28th Street SE,Grand Rapids,Michigan,49512-2049,42.910564,-85.542713
4901 Wilson Avenue,Wyoming,Michigan,49418-8788,42.875818,-85.76385
400 Brown Road,Auburn Hills,Michigan,48326-1305,42.7070854,-83.2963467
45460 Market Street,Shelby Township,Michigan,48315-6204,42.6295851,-82.98077
2343 South Telegraph Rd,Bloomfield,Michigan,48302-0254,42.606916,-83.293322
20000 Haggerty Rd,Livonia,Michigan,48152-1011,42.432885,-83.430471
13700 Middlebelt Road,Livonia,Michigan,48150-2215,42.3813419,-83.332026
6700 Whitmore Lake Rd,Brighton,Michigan,48116-2160,42.5044786,-83.7594455
30550 Stephenson Highway,Madison Heights,Michigan,48071-1611,42.5161919,-83.117129
27118 Gratiot Avenue,Roseville,Michigan,48066-2915,42.4959314,-82.9371897
3000 Commerce Crossing,Commerce Tnshp,Michigan,48390,42.534006,-83.444799
12547 Riverdale Blvd.,Coon Rapids,Minnesota,55448-6708,45.1985438,-93.3502188
5801 16th Street West,St. Louis Park,Minnesota,55416-1446,44.9676254,-93.3495534
11330 Fountains Dr N,Maple Grove,Minnesota,55369-7200,45.09298,-93.424382
12011 Technology Drive,Eden Prairie,Minnesota,55344-3620,44.8603208,-93.4358767
1431 Beam Ave,Maplewood,Minnesota,55109-1064,45.029375,-93.039964
14050 Burnhaven Dr,Burnsville,Minnesota,55337,44.7481179,-93.2934839
241 East Linwood Blvd,Kansas City,Missouri,64111-1119,39.0682148,-94.5815625
19040 E. Valley View Pkwy,Independence,Missouri,64055-7004,39.0372034,-94.3551426
200 Costco Way,St. Peters,Missouri,63376-4385,38.797262,-90.607339
4200 Rusty Road,St. Louis,Missouri,63128-1973,38.506798,-90.3408851
301 Highlands Blvd Drive,Manchester,Missouri,63011,38.597951,-90.506914
2330 US Highway 93 N,Kalispell,Montana,59901-2547,48.174177,-114.29897
3220 Northern Pacific Avenue,Missoula,Montana,59808-1338,46.89293,-114.037358
2505 Catron Street,Bozeman,Montana,59718-7993,45.71334,-111.070653
2195 E Custer Ave,Helena,Montana,59602-1217,46.616615,-112.0049737
2290 King Avenue West,Billings,Montana,59102-7415,45.7550163,-108.5727142
12300 West Dodge Rd,Omaha,Nebraska,68154-2382,41.265224,-96.10534
700 Old Clear Creek Road,Carson City,Nevada,89705-6853,39.1123484,-119.8451288
2200 Harvard Way,Reno,Nevada,89502-4000,39.503102,-119.785095
4810 Galleria Parkway,Sparks,Nevada,89436-9605,39.579204,-119.738792
801 S. Pavilion Center Drive,Las Vegas,Nevada,89144-4566,36.1633476,-115.3318905
6555 N Decatur Blvd,Las Vegas,Nevada,89131-2796,36.278946,-115.209445
222 S Martin Luther King Blvd,Las Vegas,Nevada,89106-4305,36.1721288,-115.1608236
791 Marks Street,Henderson,Nevada,89014-8601,36.06985,-115.037166
311 Daniel Webster Highway,Nashua,New Hampshire,03060-5702,42.7023,-71.443126
2210 Route 27 North,Edison,New Jersey,08817-3314,40.5317305,-74.3766237
325 Promenade Blvd.,Bridgewater,New Jersey,08807-3457,40.5644881,-74.5553081
465 Route 70,Brick,New Jersey,08723-4049,40.0547573,-74.1563178
100 Centerton Road,Mount Laurel,New Jersey,08054-6103,39.9505868,-74.8761132
245 Stafford Park Blvd,Stafford Township,New Jersey,08050-2734,39.70721,-74.287661
156 SR-10 West,East Hanover,New Jersey,07936-2107,40.8096853,-74.381266
315 Route 15,Wharton,New Jersey,07885-1224,40.906896,-74.569445
2835 Route 35 South,Hazlet,New Jersey,07730-1516,40.4194098,-74.1705136
80 South River Street,Hackensack,New Jersey,07601-7110,40.876239,-74.038818
77 Willowbrook Boulevard,Wayne,New Jersey,07470-7055,40.8872413,-74.2541309
1055 Hudson St,Union,New Jersey,07083-6809,40.6931,-74.2873
20 Bridewell Place,Clifton,New Jersey,07014-1724,40.830625,-74.1366964
500 Eubank Blvd SE,Albuquerque,New Mexico,87123-3338,35.068225,-106.530385
9955 Coors Bypass NW,Albuquerque,New Mexico,87114-5963,35.19547,-106.66139
1420 Renaissance Boulevard NE,Albuquerque,New Mexico,87107-6811,35.136386,-106.614209
3000 Middle Country Road,Nesconset,New York,11767-1072,40.862057,-73.130236
625 Broadhollow Road,Melville,New York,11747-5007,40.757604,-73.420634
125 Beacon Drive,Holbrook,New York,11741-4309,40.773266,-73.050016
10 Garret Place,Commack,New York,11725-5421,40.8067522,-73.2865925
1250 Old Country Road,Westbury,New York,11590-5641,40.743347,-73.601117
605 Rockaway Turnpike,Lawrence,New York,11559-1029,40.6307824,-73.7398576
976 3rd Avenue,Brooklyn,New York,11232-2400,40.6554813,-74.0090742
32-50 Vernon Boulevard,Long Island City,New York,11106-4927,40.7673216,-73.9375771
50 Overlook Boulevard,Nanuet,New York,10954-5292,41.107253,-74.025274
1 Industrial Lane,New Rochelle,New York,10805-1203,40.896403,-73.7938571
20 Stew Leonard Drive,Yonkers,New York,10710-7202,40.9749617,-73.8612905
2975 Richmond Avenue,Staten Island,New York,10314-5851,40.57268,-74.168663
61-35 Junction Boulevard,Rego Park,New York,11374,40.7333304,-73.8635717
1 Westchester Ave.,Port Chester,New York,10573,40.997205,-73.661561
517 E 117th St,New York,New York,10035,40.7953918,-73.9318516
5351 Gingerwood Dr,Wilmington,North Carolina,28405-3091,34.2471728,-77.8738996
500 Tyvola Road,Charlotte,North Carolina,28217-3504,35.162075,-80.883958
2125 Matthews Township Pkwy,Matthews,North Carolina,28105-5766,35.130096,-80.704742
1510 North Pointe Drive,Durham,North Carolina,27705-3405,36.028911,-78.914527
2838 Wake Forest Rd,Raleigh,North Carolina,27609-7840,35.818255,-78.622315
4201 West Wendover Ave,Greensboro,North Carolina,27407-1908,36.058064,-79.883838
1085 Hanes Mall Blvd.,Winston Salem,North Carolina,27103-1310,36.064731,-80.317952
9691 Waterstone Blvd,Cincinnati,Ohio,45249-8220,39.2956999,-84.3032
1100 East Kemper Road,Springdale,Ohio,45246-3321,39.288172,-84.4510214
1409 Golden Gate Blvd.,Cleveland,Ohio,44124-1808,41.5241698,-81.4467262
3405 West Central Ave,Toledo,Ohio,43606-1402,41.6773358,-83.6241301
1500 Gemini Place,Columbus,Ohio,43240-7002,40.150574,-82.976965
16690 Royalton Rd,Strongsville,Ohio,44136,41.3130793,-81.8162777
35804 Detroit Road,Avon,Ohio,44011,41.461881,-82.012682
2500 Northeast Highway 20,Bend,Oregon,97701-6277,44.057267,-121.267616
3639 Crater Lake Highway,Medford,Oregon,97504-9259,42.3687759,-122.858378
2828 Chad Drive,Eugene,Oregon,97408-7337,44.089117,-123.06635
3130 Killdeer Ave,Albany,Oregon,97321-5325,44.6391268,-123.065814
1010 Hawthorne Avenue SE,Salem,Oregon,97301-5090,44.918976,-122.995309
4849 NE 138th Ave,Portland,Oregon,97230-3401,45.559288,-122.523747
7855 SW Dartmouth Ave,Tigard,Oregon,97223-8401,45.4367116,-122.7564796
1255 NE 48th Ave,Hillsboro,Oregon,97124-5008,45.535709,-122.9355
25900 SW Heather Place,Wilsonville,Oregon,97070-5785,45.332949,-122.764093
13130 SE 84th Avenue,Clackamas,Oregon,97015-9733,45.429738,-122.571376
15901 SW Jenkins,Aloha,Oregon,97006-5098,45.509085,-122.841919
4141 NE Stephens,Roseburg,Oregon,97470,43.2590258,-123.3513746
1804 SE Ensign Lane,Warrenton,Oregon,97146,46.1472442,-123.9174036
740 Upper State Road,North Wales,Pennsylvania,19454-1403,40.2391985,-75.2351214
201 Allendale Road,King of Prussia,Pennsylvania,19406-1634,40.091369,-75.385931
1875 Hempstead Road,Lancaster,Pennsylvania,17601-5671,40.052357,-76.256924
5125 Jonestown Road Suite 221,Harrisburg,Pennsylvania,17112-2983,40.3098913,-76.7996506
1050 Cranberry Square Drive,Cranberry Township,Pennsylvania,16066-6142,40.691215,-80.107991
501 W Waterfront Dr,West Homestead,Pennsylvania,15120-5009,40.4067922,-79.9195722
202 Costco Drive,Pittsburgh,Pennsylvania,15205,40.4581284,-80.1671087
1021 Woodruff Rd,Greenville,South Carolina,29607-4108,34.8360858,-82.311008
1021 Oak Forest Lane,Myrtle Beach,South Carolina,29577-9795,33.705698,-78.915906
3050 Ashley Town Center,Charleston,South Carolina,29414-5664,32.7953856,-80.0369654
211 W Blackstock Rd,Spartanburg,South Carolina,29301-1382,34.9370256,-81.9906978
3775 Hacks Cross Road,Memphis,Tennessee,38125-2302,35.0465639,-89.7972209
2431 North Germantown Parkway,Cordova,Tennessee,38016-4494,35.19204,-89.794989
6670 Charlotte Pike,Nashville,Tennessee,37209-4202,36.1392669,-86.885891
98 Seaboard Lane,Brentwood,Tennessee,37027-2930,35.963436,-86.818149
10401 Research Blvd,Austin,Texas,78759-5712,30.3968644,-97.7456423
5611 Utsa Blvd,San Antonio,Texas,78249-1619,29.576287,-98.597156
15330 IH-35 North,Selma,Texas,78154-3814,29.598391,-98.277915
12405 N. Gessner Rd.,Houston,Texas,77064-1170,29.9536092,-95.5468109
1150 Bunker Hill Road,Houston,Texas,77055-6208,29.787755,-95.529263
3836 Richmond Ave,Houston,Texas,77027-5802,29.7327829,-95.4389565
5300 Overton Ridge Blvd,Fort Worth,Texas,76132-3301,32.6775654,-97.4087829
2601 E. State Hwy 114,Southlake,Texas,76092-6668,32.9419217,-97.1121332
600 West Arbrook Blvd,Arlington,Texas,76014-3702,32.6846619,-97.1127486
1701 Dallas Pkwy,Plano,Texas,75093-4520,33.023989,-96.831701
3800 N. Central Expressway,Plano,Texas,75074-2221,33.0441379,-96.699179
851 S. State Hwy 121,Lewisville,Texas,75067-4158,32.9952011,-96.9648545
